,Channel1,Channel2,Channel3,Channel4
1,0.08,0.16,-0.08,-0.24
2,0,0.16,-0.16,-0.32
3,0.08,0.16,-0.08,-0.24
4,0,0.16,-0.16,-0.32
5,0.08,0.16,-0.08,-0.24
6,0,0.08,-0.16,-0.32
7,0.08,0.16,-0.08,-0.24
8,0,0.16,-0.16,-0.32
9,0.08,0.16,-0.08,4
10,0,0.08,-0.16,-0.32
11,0.16,0.16,-0.08,4
12,-0.08,0.08,-0.16,-1.84
13,0.08,0.16,-0.08,-0.24
14,0,0.16,-0.16,-0.32
15,0.08,0.16,-0.08,-0.24
16,0,0.16,-0.16,-0.32
17,4.32,0.16,-0.08,-0.16
18,-1.52,0.16,-0.16,-0.4
19,0.08,0.16,-0.08,-0.24
20,0,0.16,-0.16,-0.32
21,0.08,0.16,-0.08,-0.24
22,0,0.16,-0.16,-0.32
23,0.08,0.16,-0.08,-0.24
24,0,0.08,-0.16,-0.32
25,0.08,0.16,-0.08,-0.24
26,0,0.16,-0.16,-0.32
27,0.08,0.16,-0.08,-0.24
28,0,0.16,-0.16,-0.32
29,0.08,0.16,-0.08,4
30,0,0.16,-0.16,-0.32
31,0.16,0.16,-0.08,4
32,-0.08,0.16,-0.16,-1.84
33,4.32,0.16,-0.08,-0.16
34,-1.52,0.08,-0.16,-0.4
35,0.08,0.16,-0.08,-0.24
36,0,0.16,-0.16,-0.32
37,0.08,0.16,-0.08,-0.24
38,0,0.16,-0.16,-0.32
39,0.08,0.16,-0.08,-0.24
40,0,0.16,-0.16,-0.32
41,0.08,0.16,-0.08,-0.24
42,0,0.16,-0.16,-0.4
43,0.08,0.16,-0.08,-0.24
44,0,0.16,-0.16,-0.32
45,0.08,0.16,-0.08,-0.24
46,0,0.16,-0.16,-0.32
47,0.08,0.16,-0.08,-0.24
48,0,0.16,-0.16,-0.32
49,4.32,0.16,-0.08,3.92
50,-1.52,0.16,-0.16,-0.4
51,0.08,0.16,-0.08,4
52,-0.08,0.16,-0.16,-1.84
53,0.08,0.16,-0.08,-0.24
54,0,0.16,-0.16,-0.4
55,0.08,0.16,-0.08,-0.24
56,0,0.16,-0.16,-0.32
57,0.08,0.16,-0.08,-0.24
58,0,0.16,-0.16,-0.32
59,0.08,0.16,-0.08,-0.24
60,0,0.16,-0.16,-0.32
61,0.08,0.16,-0.08,-0.24
62,0,0.16,-0.16,-0.32
63,0.08,0.16,-0.08,-0.24
